,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
1438,K2-334 b,1213.0,27.2 Earths,11.842,2018,Neptune-like,0.504 x Jupiter,Unknown,5.1 days,0,K2-334,Transit,6502.0,1.49,1.36,09h05m57.46s,+16d19m31.85s
1439,K2-335 b,1820.0,5.52 Earths,12.556,2016,Neptune-like,2.21 x Earth,Unknown,12.3 days,0,K2-335,Transit,6222.0,1.33,1.23,08h37m33.52s,+16d31m19.43s
1440,K2-336 b,781.0,1.98 Earths,12.803,2016,Super Earth,1.22 x Earth,Unknown,21.2 days,0,K2-336,Transit,5424.0,0.8,0.86,08h55m21.17s,+16d47m38.64s
1441,K2-337 b,1375.0,7.37 Earths,12.385,2016,Neptune-like,0.234 x Jupiter,Unknown,16.3 days,0,K2-337,Transit,5869.0,1.32,0.94,08h31m02.67s,+16d54m01.69s
1442,K2-338 b,512.0,1.08 Earths,13.322,2016,Super Earth,1.03 x Earth,Unknown,3.9 days,0,K2-338,Transit,4558.0,0.63,0.66,08h17m26.62s,+17d01m26.96s
1443,K2-339 b,1175.0,4.35 Earths,14.487,2019,Super Earth,1.92 x Earth,Unknown,19.5 days,0,K2-339,Transit,4857.0,0.72,0.74,08h40m19.81s,+18d41m34.46s
1444,K2-34 b,1137.0,1.698 Jupiters,11.447,2016,Gas Giant,1.227 x Jupiter,0.0442 AU,3 days,0,K2-34,Transit,6168.0,1.42,1.16,08h30m18.89s,+22d14m09.31s
1445,K2-340 b,2408.0,11.2 Earths,14.428,2016,Neptune-like,0.3 x Jupiter,Unknown,29.7 days,0,K2-340,Transit,5532.0,1.13,0.93,08h31m44.96s,+19d04m28.51s
1446,K2-341 b,1375.0,10.4 Earths,12.725,2018,Neptune-like,0.286 x Jupiter,Unknown,36.6 days,0,K2-341,Transit,5817.0,1.16,0.98,08h41m59.33s,+19d54m59.89s
1447,K2-342 b,680.0,4.78 Earths,11.338,2018,Super Earth,2.03 x Earth,Unknown,11.6 days,0,K2-342,Transit,5920.0,1.09,1.01,08h52m29.26s,+21d14m19.25s
1448,K2-343 b,542.0,3.36 Earths,16.01,2019,Super Earth,1.65 x Earth,Unknown,2.8 days,0,K2-343,Transit,3804.0,0.46,0.49,08h56m48.52s,+21d30m09.68s
1449,K2-343 c,542.0,4.74 Earths,16.01,2018,Super Earth,2.02 x Earth,Unknown,7.7 days,0,K2-343,Transit,3804.0,0.46,0.49,08h56m48.52s,+21d30m09.68s
1450,K2-344 b,245.0,3.15 Earths,13.423,2018,Super Earth,1.59 x Earth,Unknown,3.4 days,0,K2-344,Transit,4374.0,0.49,0.51,09h05m26.76s,+21d40m06.92s
1451,K2-345 b,530.0,5.1 Earths,15.72,2016,Neptune-like,2.11 x Earth,Unknown,10.4 days,0,K2-345,Transit,3779.0,0.52,0.56,08h50m49.82s,+21d47m20.53s
1452,K2-346 b,344.0,5.73 Earths,11.903,2016,Neptune-like,0.202 x Jupiter,Unknown,26.2 days,0,K2-346,Transit,4801.0,0.7,0.71,08h23m56.76s,+22d39m47.61s
1453,K2-347 b,1045.0,6.39 Earths,15.15,2016,Neptune-like,0.215 x Jupiter,Unknown,7.2 days,0,K2-347,Transit,4599.0,0.63,0.66,08h25m29.44s,+23d17m50.66s
1454,K2-348 b,658.0,10.7 Earths,12.572,2018,Neptune-like,0.291 x Jupiter,Unknown,4.7 days,0,K2-348,Transit,5077.0,0.85,0.83,08h43m30.80s,+24d25m22.64s
1455,K2-348 c,658.0,7.61 Earths,12.572,2018,Neptune-like,0.238 x Jupiter,Unknown,12.6 days,0,K2-348,Transit,5077.0,0.85,0.83,08h43m30.80s,+24d25m22.64s
1456,K2-349 b,1480.0,2.48 Earths,14.585,2016,Super Earth,1.38 x Earth,Unknown,9 days,0,K2-349,Transit,4385.0,0.49,0.54,13h16m23.92s,-14d26m41.08s
1457,K2-35 b,824.0,2.3 Earths,14.166,2016,Super Earth,1.32 x Earth,0.031 AU,2.4 days,0.13,K2-35,Transit,4402.71,0.62,0.7,11h20m24.74s,+01d17m09.12s
1458,K2-35 c,824.0,4.38 Earths,14.166,2016,Super Earth,1.93 x Earth,0.055 AU,5.6 days,0.12,K2-35,Transit,4402.71,0.62,0.7,11h20m24.74s,+01d17m09.12s
1459,K2-350 b,1596.0,2.99 Earths,13.449,2021,Super Earth,1.54 x Earth,Unknown,4.2 days,0,K2-350,Transit,5789.0,1.04,0.98,13h36m08.52s,-14d00m33.31s
1460,K2-350 c,1596.0,7.95 Earths,13.449,2016,Neptune-like,0.244 x Jupiter,Unknown,20 days,0,K2-350,Transit,5789.0,1.04,0.98,13h36m08.52s,-14d00m33.31s
1461,K2-351 b,2266.0,6.99 Earths,14.195,2016,Neptune-like,0.227 x Jupiter,Unknown,7.8 days,0,K2-351,Transit,5769.0,1.05,1.02,13h46m36.54s,-11d48m17.85s
1462,K2-352 b,574.0,2.45 Earths,11.125,2021,Super Earth,1.37 x Earth,Unknown,3.7 days,0,K2-352,Transit,5791.0,0.95,0.98,09h21m46.84s,+18d28m10.66s
1463,K2-352 c,574.0,4.35 Earths,11.125,2018,Super Earth,1.92 x Earth,Unknown,8.2 days,0,K2-352,Transit,5791.0,0.95,0.98,09h21m46.84s,+18d28m10.66s
1464,K2-352 d,574.0,5.6 Earths,11.125,2018,Neptune-like,2.23 x Earth,Unknown,14.9 days,0,K2-352,Transit,5791.0,0.95,0.98,09h21m46.84s,+18d28m10.66s
1465,K2-353 b,876.0,26.3 Earths,12.337,2021,Neptune-like,0.495 x Jupiter,Unknown,15.5 days,0,K2-353,Transit,5698.0,0.99,0.87,13h26m28.05s,-02d16m54.85s
1466,K2-354 b,299.0,3.05 Earths,15.296,2016,Super Earth,1.56 x Earth,Unknown,3.8 days,0,K2-354,Transit,3669.0,0.41,0.43,08h36m31.18s,+10d08m49.98s
1467,K2-355 b,1633.0,5.69 Earths,13.707,2021,Neptune-like,0.201 x Jupiter,0.0632 AU,5.7 days,0,K2-355,Transit,5790.0,0.92,0.96,08h18m34.23s,+13d30m10.01s
1468,K2-356 b,1160.0,5.86 Earths,13.268,2021,Neptune-like,0.204 x Jupiter,0.1599 AU,21 days,0,K2-356,Transit,5568.0,0.86,0.9,08h33m17.26s,+13d39m40.95s
1469,K2-357 b,1689.0,13.4 Earths,13.748,2021,Neptune-like,0.332 x Jupiter,0.145 AU,16.3 days,0,K2-357,Transit,5794.0,1.0,0.98,08h47m45.28s,+16d19m44.09s
1470,K2-358 b,1567.0,7.65 Earths,13.699,2021,Neptune-like,0.239 x Jupiter,0.0863 AU,11.3 days,0,K2-358,Transit,5650.0,0.91,0.93,08h55m13.95s,+18d56m59.01s
1471,K2-36 b,358.0,3.9 Earths,11.726,2016,Super Earth,1.43 x Earth,0.0223 AU,1.4 days,0,K2-36,Transit,4916.0,0.72,0.79,11h17m47.76s,+03d51m59.41s
1472,K2-36 c,358.0,7.8 Earths,11.726,2016,Neptune-like,0.285 x Jupiter,0.054 AU,5.3 days,0,K2-36,Transit,4916.0,0.72,0.79,11h17m47.76s,+03d51m59.41s
1473,K2-37 b,587.0,3.22 Earths,12.573,2016,Super Earth,1.61 x Earth,0.0511 AU,4.4 days,0,K2-37,Transit,5413.0,0.85,0.9,16h13m48.23s,-24d47m13.39s
1474,K2-37 c,587.0,8 Earths,12.573,2016,Neptune-like,0.245 x Jupiter,0.0654 AU,6.4 days,0,K2-37,Transit,5413.0,0.85,0.9,16h13m48.23s,-24d47m13.39s
1475,K2-37 d,587.0,7.9 Earths,12.573,2016,Neptune-like,0.244 x Jupiter,0.1103 AU,14.1 days,0,K2-37,Transit,5413.0,0.85,0.9,16h13m48.23s,-24d47m13.39s
1476,K2-38 b,629.0,19.0698 Earths,11.344,2016,Super Earth,1.906 x Earth,0.05073 AU,4 days,0,K2-38,Transit,5757.0,1.38,2.24,16h00m07.99s,-23d11m21.91s
1477,K2-38 c,629.0,9.9 Earths,11.344,2016,Super Earth,0.216 x Jupiter,0.0964 AU,10.6 days,0,K2-38,Transit,5757.0,1.1,1.07,16h00m07.99s,-23d11m21.91s
1478,K2-39 b,1003.0,28.6047 Earths,10.831,2016,Neptune-like,0.56 x Jupiter,0.05708 AU,4.6 days,0,K2-39,Transit,4881.0,2.97,0.66,22h33m28.37s,-09d01m22.59s
1479,K2-4 b,756.0,5.06 Earths,14.855,2015,Neptune-like,2.1 x Earth,0.078 AU,10 days,0.08,K2-4,Transit,4014.73,0.57,0.64,11h38m58.93s,-03d54m20.07s
1480,K2-42 b,1295.0,5.27 Earths,15.006,2016,Neptune-like,2.15 x Earth,0.0617 AU,6.7 days,0,K2-42,Transit,4613.0,0.64,0.7,11h46m39.78s,-05d10m19.37s
1481,K2-43 b,595.0,18.5 Earths,15.748,2016,Neptune-like,0.402 x Jupiter,0.03784 AU,3.5 days,0.07,K2-43,Transit,3840.6,0.54,0.57,11h16m28.09s,-03d58m31.59s
1482,K2-43 c,595.0,6.44 Earths,15.748,2019,Neptune-like,0.216 x Jupiter,Unknown,2.2 days,0,K2-43,Transit,3840.6,0.54,0.57,11h16m28.09s,-03d58m31.59s
1483,K2-44 b,1555.0,6.5 Earths,12.27,2016,Neptune-like,0.217 x Jupiter,0.06 AU,5.7 days,0,K2-44,Transit,5912.0,1.58,1.15,11h36m02.80s,-02d31m15.36s
1484,K2-45 b,1616.0,36.4 Earths,15.746,2016,Neptune-like,0.599 x Jupiter,0.0224 AU,1.7 days,0.1,K2-45,Transit,4103.0,0.45,0.5,11h18m31.86s,-01d46m26.61s
1485,K2-46 b,1465.0,4.86 Earths,12.144,2016,Super Earth,2.05 x Earth,0.13821 AU,19.2 days,0,K2-46,Transit,6256.0,1.29,0.96,11h37m03.90s,-00d54m25.96s
1486,K2-47 b,1141.0,4.23 Earths,14.065,2016,Super Earth,1.89 x Earth,0.1779 AU,31.6 days,0,K2-47,Transit,5054.0,0.76,0.75,11h14m19.82s,+02d46m50.02s
1487,K2-48 b,1023.0,5.65 Earths,14.345,2016,Neptune-like,0.2 x Jupiter,0.1344 AU,20.5 days,0,K2-48,Transit,4899.0,0.73,0.77,11h44m29.59s,+03d16m20.57s
1488,K2-49 b,1491.0,4.38 Earths,15.668,2016,Super Earth,1.93 x Earth,0.0309 AU,2.8 days,0,K2-49,Transit,4175.0,0.45,0.51,11h49m16.86s,+03d28m31.87s
1489,K2-5 b,662.0,4.31 Earths,14.974,2015,Super Earth,1.91 x Earth,0.0532 AU,5.7 days,0,K2-5,Transit,3930.0,0.57,0.61,11h17m12.83s,-01d52m40.17s
1490,K2-5 c,662.0,5.73 Earths,14.974,2015,Neptune-like,0.202 x Jupiter,0.0818 AU,10.9 days,0,K2-5,Transit,3930.0,0.57,0.61,11h17m12.83s,-01d52m40.17s
1491,K2-50 b,840.0,3.15 Earths,14.705,2016,Super Earth,1.59 x Earth,0.0705 AU,8.8 days,0,K2-50,Transit,4326.0,0.55,0.61,11h17m56.08s,+05d59m17.84s
1492,K2-52 b,3387.0,144 Jupiters,15.93,2016,Gas Giant,1.606 x Jupiter,0.054 AU,3.5 days,0,K2-52,Transit,7147.0,2.19,1.69,16h26m26.74s,-24d58m11.81s
1493,K2-53 b,450.0,7.27 Earths,12.634,2016,Neptune-like,0.232 x Jupiter,0.098 AU,12.2 days,0,K2-53,Transit,5263.0,0.81,0.85,16h16m34.07s,-20d24m02.15s
1494,K2-54 b,571.0,1.6 Earths,14.542,2016,Super Earth,1.15 x Earth,0.0671 AU,9.8 days,0,K2-54,Transit,3798.0,0.38,0.42,22h32m13.00s,-17d32m38.63s
1495,K2-55 b,520.0,14 Earths,13.519,2016,Neptune-like,0.341 x Jupiter,0.03486 AU,2.8 days,0.07,K2-55,Transit,4456.0,0.63,0.7,22h15m00.45s,-17d15m02.88s
1496,K2-57 b,862.0,5.06 Earths,14.414,2016,Neptune-like,2.1 x Earth,0.0746 AU,9 days,0,K2-57,Transit,4434.0,0.62,0.68,22h50m46.04s,-14d04m12.00s
1497,K2-58 b,593.0,7.65 Earths,12.415,2016,Neptune-like,0.239 x Jupiter,0.0692 AU,7.1 days,0,K2-58,Transit,5413.0,0.86,0.89,22h15m17.24s,-14d02m59.49s
1498,K2-58 c,593.0,3.26 Earths,12.415,2016,Super Earth,1.62 x Earth,0.035 AU,2.5 days,0,K2-58,Transit,5413.0,0.86,0.89,22h15m17.24s,-14d02m59.49s
1499,K2-58 d,593.0,3.57 Earths,12.415,2016,Super Earth,1.71 x Earth,0.1517 AU,22.9 days,0,K2-58,Transit,5413.0,0.86,0.89,22h15m17.24s,-14d02m59.49s
1500,K2-59 b,1016.0,6.39 Earths,14.266,2016,Neptune-like,0.215 x Jupiter,0.1354 AU,20.7 days,0,K2-59,Transit,5055.0,0.73,0.77,22h35m46.21s,-14d01m39.82s
1501,K2-59 c,1016.0,5.9 Earths,14.266,2016,Neptune-like,0.205 x Jupiter,0.0905 AU,11.3 days,0,K2-59,Transit,5055.0,0.73,0.77,22h35m46.21s,-14d01m39.82s
1502,K2-6 b,1033.0,6.8 Earths,12.66,2015,Neptune-like,0.223 x Jupiter,0.1898 AU,30.9 days,0,K2-6,Transit,5850.0,0.96,0.97,11h52m46.11s,-01d11m54.39s
1503,K2-60 b,1604.0,0.426 Jupiters,12.857,2016,Gas Giant,0.683 x Jupiter,0.045 AU,3 days,0,K2-60,Transit,5500.0,1.12,0.97,22h34m25.50s,-13d43m54.50s
1504,K2-61 b,1323.0,6.71 Earths,13.173,2016,Neptune-like,0.221 x Jupiter,0.0392 AU,2.6 days,0,K2-61,Transit,6293.0,1.36,1.21,22h38m41.96s,-13d33m36.16s
1505,K2-62 b,367.0,5.22 Earths,12.391,2016,Neptune-like,2.14 x Earth,0.0636 AU,6.7 days,0,K2-62,Transit,4880.0,0.73,0.77,22h17m27.48s,-12d11m14.92s
1506,K2-62 c,367.0,5.22 Earths,12.391,2016,Neptune-like,2.14 x Earth,0.1148 AU,16.2 days,0,K2-62,Transit,4880.0,0.73,0.77,22h17m27.48s,-12d11m14.92s
1507,K2-63 b,1688.0,10.5 Earths,12.98,2016,Neptune-like,0.287 x Jupiter,0.1627 AU,20.3 days,0,K2-63,Transit,6771.0,1.63,1.4,22h13m42.43s,-12d03m58.83s
1508,K2-63 c,1688.0,14.5 Earths,12.98,2016,Neptune-like,0.348 x Jupiter,0.189 AU,25.5 days,0,K2-63,Transit,6771.0,1.63,1.4,22h13m42.43s,-12d03m58.83s
1509,K2-64 b,1631.0,4.94 Earths,14.132,2016,Super Earth,2.07 x Earth,0.0619 AU,6.5 days,0,K2-64,Transit,5312.0,0.73,0.74,22h09m39.32s,-11d25m43.21s
1510,K2-65 b,236.0,3.12 Earths,10.71,2016,Super Earth,1.58 x Earth,0.1014 AU,12.6 days,0,K2-65,Transit,5213.0,0.84,0.87,22h12m51.00s,-10d55m34.09s
1511,K2-66 b,1676.0,21.3 Earths,11.71,2016,Super Earth,0.222 x Jupiter,0.05983 AU,5.1 days,0,K2-66,Transit,5887.0,1.67,1.11,22h06m06.40s,-10d42m41.53s
1512,K2-68 b,550.0,3.12 Earths,12.987,2016,Super Earth,1.58 x Earth,0.0708 AU,8.1 days,0,K2-68,Transit,4746.0,0.68,0.73,22h16m04.69s,-10d34m02.51s
1513,K2-69 b,589.0,5.99 Earths,16.024,2016,Neptune-like,0.207 x Jupiter,0.0591 AU,7.1 days,0,K2-69,Transit,4127.0,0.49,0.55,22h23m02.32s,-10d29m19.25s
1514,K2-7 b,2409.0,7.61 Earths,13.453,2015,Neptune-like,0.238 x Jupiter,0.1814 AU,28.7 days,0,K2-7,Transit,5772.0,0.96,0.97,11h08m22.50s,-01d03m57.08s
1515,K2-70 b,760.0,8.7 Earths,13.074,2016,Neptune-like,0.258 x Jupiter,0.1112 AU,14 days,0,K2-70,Transit,5622.0,0.93,0.94,22h33m54.22s,-10d05m05.97s
1516,K2-71 b,500.0,5.27 Earths,16.14,2016,Neptune-like,2.15 x Earth,0.0559 AU,7 days,0,K2-71,Transit,4006.0,0.43,0.48,22h46m53.97s,-09d52m53.80s
1517,K2-72 b,217.0,1.28 Earths,15.37,2016,Super Earth,1.08 x Earth,0.04 AU,5.6 days,0.11,K2-72,Transit,3360.47,0.33,0.27,22h18m29.46s,-09d36m43.23s
1518,K2-72 c,217.0,1.65 Earths,15.37,2016,Super Earth,1.16 x Earth,0.078 AU,15.2 days,0.11,K2-72,Transit,3360.47,0.33,0.27,22h18m29.46s,-09d36m43.23s
1519,K2-72 d,217.0,1.01 Earths,15.37,2016,Super Earth,1.01 x Earth,0.05 AU,7.8 days,0.11,K2-72,Transit,3360.47,0.33,0.27,22h18m29.46s,-09d36m43.23s
1520,K2-72 e,217.0,2.21 Earths,15.37,2016,Super Earth,1.29 x Earth,0.106 AU,24.2 days,0.11,K2-72,Transit,3360.47,0.33,0.27,22h18m29.46s,-09d36m43.23s
1521,K2-73 b,878.0,6.57 Earths,11.345,2016,Neptune-like,0.219 x Jupiter,0.07619 AU,7.5 days,0,K2-73,Transit,5922.0,1.06,1.05,22h20m06.16s,-09d03m21.92s
1522,K2-74 b,1232.0,5.95 Earths,12.715,2016,Neptune-like,0.206 x Jupiter,0.1402 AU,19.6 days,0,K2-74,Transit,6060.0,0.98,0.96,22h39m40.63s,-08d42m52.45s
1523,K2-75 b,1833.0,7.61 Earths,12.803,2016,Neptune-like,0.238 x Jupiter,0.081 AU,7.8 days,0,K2-75,Transit,5995.0,1.56,1.16,22h35m22.78s,-07d28m11.62s
1524,K2-75 c,1833.0,8.1 Earths,12.803,2016,Neptune-like,0.247 x Jupiter,0.1429 AU,18.3 days,0,K2-75,Transit,5995.0,1.56,1.16,22h35m22.78s,-07d28m11.62s
1525,K2-77 b,462.0,1.9 Jupiters,12.224,2016,Neptune-like,0.205 x Jupiter,0.076 AU,8.2 days,0.14,K2-77,Transit,4970.0,0.76,0.8,03h40m54.85s,+12d34m20.81s
1526,K2-79 b,835.0,13.2 Earths,12.152,2016,Neptune-like,0.329 x Jupiter,0.0987 AU,11 days,0,K2-79,Transit,5926.0,1.28,1.06,03h41m01.42s,+13d31m09.07s
1527,K2-8 b,1316.0,12.5 Earths,14.801,2015,Neptune-like,0.319 x Jupiter,0.0856 AU,10.4 days,0,K2-8,Transit,4870.0,0.74,0.78,11h19m10.44s,-00d17m03.98s
1528,K2-8 c,1316.0,6.39 Earths,14.801,2016,Neptune-like,0.215 x Jupiter,0.0532 AU,5.1 days,0,K2-8,Transit,4870.0,0.74,0.78,11h19m10.44s,-00d17m03.98s
1529,K2-80 b,655.0,4.7 Earths,12.694,2016,Super Earth,2.01 x Earth,0.135 AU,19.1 days,0,K2-80,Transit,5441.0,0.87,0.9,03h56m09.00s,+13d33m32.50s
1530,K2-80 c,655.0,2.76 Earths,12.694,2016,Super Earth,1.47 x Earth,0.0596 AU,5.6 days,0,K2-80,Transit,5441.0,0.87,0.9,03h56m09.00s,+13d33m32.50s
1531,K2-80 d,655.0,7.04 Earths,12.694,2018,Neptune-like,0.228 x Jupiter,Unknown,28.9 days,0,K2-80,Transit,5377.0,0.84,0.91,03h56m09.00s,+13d33m32.50s
1532,K2-81 b,823.0,4.54 Earths,14.314,2016,Super Earth,1.97 x Earth,0.059 AU,6.1 days,0.06,K2-81,Transit,4674.13,0.63,0.75,03h49m56.51s,+14d30m07.40s
1533,K2-83 b,409.0,2.08 Earths,14.522,2016,Super Earth,1.244 x Earth,0.03014 AU,2.7 days,0.07,K2-83,Transit,3910.0,0.42,0.48,03h59m36.33s,+15d33m31.68s
1534,K2-83 c,409.0,2.8 Earths,14.522,2016,Super Earth,1.483 x Earth,0.07131 AU,10 days,0.06,K2-83,Transit,3910.0,0.42,0.48,03h59m36.33s,+15d33m31.68s
1535,K2-84 b,929.0,6.39 Earths,13.386,2016,Neptune-like,0.215 x Jupiter,0.0665 AU,6.4 days,0,K2-84,Transit,5652.0,0.93,0.95,03h43m14.25s,+16d38m03.98s
1536,K2-84 c,929.0,4.78 Earths,13.386,2016,Super Earth,2.03 x Earth,0.1768 AU,27.9 days,0,K2-84,Transit,5652.0,0.93,0.95,03h43m14.25s,+16d38m03.98s
1537,K2-85 b,317.0,1.01 Earths,12.416,2016,Super Earth,1.01 x Earth,0.01263 AU,0.7 days,0.24,K2-85,Transit,4268.0,0.51,0.57,03h57m51.56s,+18d27m53.82s
1538,K2-86 b,844.0,4.5 Earths,13.041,2016,Super Earth,1.96 x Earth,0.077 AU,8.8 days,0,K2-86,Transit,5482.0,0.76,0.79,03h26m12.75s,+18d38m08.06s
1539,K2-87 b,1602.0,0.141 Jupiters,14.136,2016,Gas Giant,0.678 x Jupiter,0.094 AU,9.7 days,0,K2-87,Transit,5747.0,1.4,1.16,04h24m56.73s,+18d49m38.50s
1540,K2-88 b,361.0,2.04 Earths,15.523,2016,Super Earth,1.23 x Earth,0.0345 AU,4.6 days,0.26,K2-88,Transit,3537.0,0.26,0.26,03h39m00.35s,+19d07m11.88s
1541,K2-89 b,281.0,0.17 Earths,14.162,2016,Terrestrial,0.615 x Earth,0.01462 AU,1.1 days,0.15,K2-89,Transit,3691.0,0.32,0.35,03h48m16.11s,+20d27m34.16s
1542,K2-9 b,271.0,5.69 Earths,15.86,2015,Neptune-like,0.201 x Jupiter,0.091 AU,18.4 days,0,K2-9,Transit,3390.0,0.31,0.3,11h45m03.29s,+00d00m19.47s
1543,K2-90 b,438.0,7.27 Earths,13.707,2016,Neptune-like,0.232 x Jupiter,0.096 AU,13.7 days,0.07,K2-90,Transit,4484.0,0.62,0.63,03h56m36.66s,+22d28m20.83s
1544,K2-90 c,438.0,2.24 Earths,13.707,2016,Super Earth,1.3 x Earth,0.035 AU,2.9 days,0.19,K2-90,Transit,4421.98,0.63,0.7,03h56m36.66s,+22d28m20.83s
1545,K2-91 b,204.0,1.37 Earths,15.622,2016,Super Earth,1.1 x Earth,0.0164 AU,1.4 days,0.09,K2-91,Transit,3622.0,0.28,0.29,04h12m52.38s,+24d12m17.00s
1546,K2-95 b,587.0,11 Earths,17.236,2016,Neptune-like,0.295 x Jupiter,0.0525 AU,10.1 days,0.16,K2-95,Transit,3566.0,0.4,0.41,08h37m27.02s,+18d58m35.83s
1547,K2-97 b,2865.0,0.48 Jupiters,12.486,2016,Gas Giant,0.947 x Jupiter,0.086 AU,8.4 days,0.22,K2-97,Transit,4717.0,4.47,1.2,08h31m03.08s,+10d50m51.21s
1548,K2-98 b,1692.0,32.2 Earths,12.216,2016,Neptune-like,0.464 x Jupiter,0.0974 AU,10.1 days,0,K2-98,Transit,6172.0,1.57,1.2,08h25m57.17s,+11d30m39.94s
1549,K2-99 b,1694.0,0.97 Jupiters,11.149,2016,Gas Giant,1.046 x Jupiter,0.1597 AU,18.3 days,0.19,K2-99,Transit,6217.0,2.63,1.63,13h55m05.70s,-05d26m32.98s
1550,KELT-1 b,876.0,27.23 Jupiters,10.632,2012,Gas Giant,1.11 x Jupiter,0.02466 AU,1.2 days,0.01,kap And,Imaging,10900.0,2.31,2.6,23h40m24.62s,+44d20m01.86s
1551,KELT-10 b,615.0,0.679 Jupiters,10.617,2016,Gas Giant,1.399 x Jupiter,0.0525 AU,4.2 days,0,kap CrB,Radial Velocity,4871.0,4.85,1.5,15h51m13.92s,+35d39m21.17s
1552,KELT-11 b,323.0,0.171 Jupiters,8.04,2017,Gas Giant,1.35 x Jupiter,0.06229 AU,4.7 days,0,Kapteyn,Radial Velocity,3550.0,0.29,0.28,05h11m50.08s,-45d02m34.87s
1553,KELT-12 b,1201.0,0.95 Jupiters,10.585,2017,Gas Giant,1.78 x Jupiter,0.06708 AU,5 days,0,KELT-1,Transit,6518.0,1.46,1.32,00h01m26.90s,+39d23m01.66s
1554,KELT-14 b,816.0,1.284 Jupiters,11.001,2016,Gas Giant,1.743 x Jupiter,0.03005 AU,1.7 days,0,KELT-10,Transit,5948.0,1.21,1.11,18h58m11.61s,-47d00m11.91s
1555,KELT-15 b,1059.0,1.31 Jupiters,11.39,2016,Gas Giant,1.74 x Jupiter,0.04613 AU,3.3 days,0,KELT-11,Transit,5375.0,2.69,1.44,10h46m49.66s,-09d23m57.71s
1556,KELT-16 b,1450.0,2.75 Jupiters,11.717,2017,Gas Giant,1.415 x Jupiter,0.02044 AU,1 days,0,KELT-12,Transit,6279.0,2.37,1.59,17h50m33.72s,+36d34m12.63s
1557,KELT-17 b,739.0,1.31 Jupiters,9.234,2016,Gas Giant,1.525 x Jupiter,0.04881 AU,3.1 days,0,KELT-14,Transit,5720.0,1.52,1.24,07h13m12.34s,-42d24m35.14s
1558,KELT-18 b,1048.0,1.18 Jupiters,10.16,2017,Gas Giant,1.57 x Jupiter,0.0455 AU,2.9 days,0,KELT-15,Transit,6003.0,1.78,2.06,07h49m39.59s,-52d07m13.61s
1559,KELT-19 A b,980.0,4.07 Jupiters,9.857,2017,Gas Giant,1.91 x Jupiter,0.0637 AU,4.6 days,0,KELT-16,Transit,6236.0,1.36,1.21,20h57m04.45s,+31d39m39.67s
1560,KELT-2 A b,437.0,1.7 Jupiters,8.68,2012,Gas Giant,1.35 x Jupiter,0.05497 AU,4.1 days,0,KELT-17,Transit,7454.0,1.65,1.64,08h22m28.18s,+13d44m07.11s
1561,KELT-20 b,445.0,3.382 Jupiters,7.59,2017,Gas Giant,1.741 x Jupiter,0.0542 AU,3.5 days,0,KELT-18,Transit,6670.0,1.91,1.52,14h26m05.72s,+59d26m39.38s
1562,KELT-21 b,1536.0,3.91 Jupiters,10.484,2018,Gas Giant,1.586 x Jupiter,0.05224 AU,3.6 days,0,KELT-19 A,Transit,7500.0,1.83,1.62,07h26m02.29s,+07d36m56.79s
1563,KELT-23 A b,412.0,0.938 Jupiters,10.308,2019,Gas Giant,1.323 x Jupiter,0.03302 AU,2.3 days,0,KELT-2 A,Transit,6327.0,1.93,1.54,06h10m39.37s,+30d57m25.68s
1564,KELT-24 b,315.0,5.18 Jupiters,8.34,2019,Gas Giant,1.272 x Jupiter,0.06969 AU,5.6 days,0.08,KELT-20,Transit,8720.0,1.56,1.76,19h38m38.74s,+31d13m09.12s
1565,KELT-3 b,686.0,1.94 Jupiters,9.816,2013,Gas Giant,1.56 x Jupiter,0.04123 AU,2.7 days,0,KELT-21,Transit,7598.0,1.64,1.46,20h19m12.01s,+32d34m51.76s
1566,KELT-4 A b,711.0,0.902 Jupiters,9.98,2016,Gas Giant,1.699 x Jupiter,0.04317 AU,3 days,0,KELT-23 A,Transit,5899.0,1.0,0.94,15h28m35.19s,+66d21m31.35s
1567,KELT-6 b,785.0,0.52 Jupiters,10.371,2014,Gas Giant,1.3 x Jupiter,0.07939 AU,7.8 days,0.22,KELT-24,Transit,6509.0,1.51,1.46,10h47m38.17s,+71d39m20.62s
1568,KELT-6 c,785.0,3.71 Jupiters,10.371,2015,Gas Giant,1.16 x Jupiter,2.39 AU,3.5 years,0.21,KELT-3,Transit,6304.0,1.7,1.96,09h54m34.35s,+40d23m16.60s
1569,KELT-7 b,446.0,1.39 Jupiters,8.56,2015,Gas Giant,1.6 x Jupiter,0.04415 AU,2.7 days,0,KELT-4 A,Transit,6206.0,1.6,1.2,10h28m15.03s,+25d34m23.29s
1570,KELT-8 b,644.0,0.66 Jupiters,10.845,2015,Gas Giant,1.62 x Jupiter,0.0455 AU,3.2 days,0.04,KELT-6,Transit,6102.0,1.73,1.42,13h03m55.64s,+30d38m24.52s
1571,KELT-9 b,667.0,2.88 Jupiters,7.55,2017,Gas Giant,1.891 x Jupiter,0.03462 AU,1.5 days,0,KELT-6,Radial Velocity,6272.0,1.53,1.13,13h03m55.64s,+30d38m24.52s
